"id","project_id","_id","measurement","value","file_name","kobo_url"
39,3,"158899500","1511_CantProvExt","7","1653412279422.png","https://kf.kobotoolbox.org/api/v2/assets/aadf5x29abVMpRn88EPXQM/data/158899500/attachments/62032317/"
40,3,"158899500","1519_MontoProvExt","39652147","1653412320216.png","https://kf.kobotoolbox.org/api/v2/assets/aadf5x29abVMpRn88EPXQM/data/158899500/attachments/62032318/"
41,4,"158890378","3414_CantAlianzasInn","8","1653409810309.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158890378/attachments/62027039/"
42,4,"158890378","3417_CantProdyssMejor","11","1653409819246.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158890378/attachments/62027040/"
43,4,"158890378","3416_CantProdyssLanz","18","1653409828039.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158890378/attachments/62027041/"
44,4,"158890378","3311_TasaSatisCliente","85.0","1653409839674.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158890378/attachments/62027042/"
45,4,"158897931","3414_CantAlianzasInn","11","1653409989461.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158897931/attachments/62031363/"
46,4,"158897931","3417_CantProdyssMejor","16","1653409997205.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158897931/attachments/62031364/"
47,4,"158897931","3416_CantProdyssLanz","14","1653410005273.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158897931/attachments/62031365/"
48,4,"158897931","3311_TasaSatisCliente","96.0","1653410014965.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158897931/attachments/62031366/"
49,4,"158897939","3414_CantAlianzasInn","9","1653410066138.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158897939/attachments/62031370/"
50,4,"158897939","3417_CantProdyssMejor","19","1653410076847.png","https://kf.kobotoolbox.org/api/v2/assets/avR3cizcNQP7gUyeeUYwri/data/158897939/attachments/62031372/"
